system   D            wsystem.c:583  maybe_parent_dir                 [   0.00050] Also searching C:\Users\Koriantor\documents\visual studio 2010\Projects\Stellar Combat\
system   D            wsystem.c:630  _al_win_safe_load_library        [   0.00086] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00090] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.02398] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.06591] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.06601] Allegro version: 5.0.5
dtor     D               dtor.c:184  _al_register_destructor          [   0.06620] added dtor for object 01ED5628, func 53FB26F3
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.06687] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.06827] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06834] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06837] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06839] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06841] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06843] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06846] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06848] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06850] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06852] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06855] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06857] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06860] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06862] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06864] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06866] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06869] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06871] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06873] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06875] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06878] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06880] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06882] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06884] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06887] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06889] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06891] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06893] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06895] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06898] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06900] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06902] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06910] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06913] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06915] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06917] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.06920] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06922] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06924] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06927] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06929] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06931] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06933] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06936] Single Buffer requirement not met.
